,video_id,label_1,label_2,label_3
0,rpe5kB2eGvo,sea_urchin,screw,abacus
1,MvuqM_9h6QY,safety_pin,golf_ball,ping-pong_ball
2,ZcGlf7EZ-vU,necklace,military_uniform,ping-pong_ball
3,hDk1ne5TCHM,Labrador_retriever,Great_Dane,kelpie
4,-X0eQXFbTQo,scoreboard,ping-pong_ball,safety_pin
5,XLqNiKqxUPU,ping-pong_ball,military_uniform,necklace
6,EmvS-3Y1PDE,ping-pong_ball,mixing_bowl,safety_pin
7,6hxJyVkq4R8,cinema,military_uniform,backpack
8,LbuoZYZLipc,ping-pong_ball,military_uniform,pop_bottle
9,hTqOeMob6uM,ping-pong_ball,dingo,military_uniform
10,RMxuWWN223o,dingo,ping-pong_ball,pop_bottle
11,rXX5yS2w_7I,ping-pong_ball,dingo,Dutch_oven
12,3mg7U1jAUks,ping-pong_ball,scoreboard,pop_bottle
13,ildQ7q0hqhc,Dungeness_crab,fire_engine,cinema
14,2BEBrZblMeE,necklace,military_uniform,Dutch_oven
15,C7TwBUxxIC0,nipple,ping-pong_ball,military_uniform
16,_GDcNxMOAkA,nipple,pop_bottle,pencil_box
17,GHsMk3i1Yi8,ping-pong_ball,magnetic_compass,pop_bottle
18,2zXd1q8hmt8,buckle,fire_engine,Dungeness_crab
19,G7EZl8a2aFI,pop_bottle,Madagascar_cat,rubber_eraser
20,WbWoT0lqVVQ,pop_bottle,dingo,Dungeness_crab
21,CioDVCtgyN0,ping-pong_ball,tow_truck,Dutch_oven
22,22gevDcbkUo,ping-pong_ball,pop_bottle,sunscreen
23,aMTxQ_MZBiQ,mixing_bowl,safety_pin,Norwegian_elkhound
24,3skwMfCJIhk,yurt,fire_screen,cinema
25,zeUGxvyCTAU,buckle,necklace,military_uniform
26,hv7hsiPbDbo,backpack,cinema,red-backed_sandpiper
27,3i19act-b1s,nipple,ping-pong_ball,pop_bottle
28,FPMUBR93w3w,yurt,acorn,bulletproof_vest
29,DMB_Lav9yJ8,ping-pong_ball,screw,jeep
30,yCOs2G-ZjpI,ping-pong_ball,pop_bottle,bib
31,J4gJY_5eNqQ,ping-pong_ball,backpack,pop_bottle
32,AhrdVoGw_Ks,bulletproof_vest,backpack,groenendael
33,oLtnNw0KT78,handkerchief,ping-pong_ball,red-backed_sandpiper
34,id3uJa-hSF4,nipple,fire_screen,yurt
35,Sqa8Zo2XWc4,nipple,backpack,keeshond
36,hDbaM367H9U,ping-pong_ball,pop_bottle,rubber_eraser
37,gW6r-BPdtN0,military_uniform,necklace,ping-pong_ball
38,KDlO64GbxIQ,keeshond,military_uniform,pencil_box
39,4WkMinOFRA8,backpack,necklace,buckle
40,Fc7BOCz92nc,military_uniform,backpack,purse
41,Wp5YJQqDkYE,military_uniform,keeshond,backpack
42,OCbc3eEpHf4,pop_bottle,ping-pong_ball,screw
43,ymGt7I4Yn3k,mixing_bowl,pop_bottle,scoreboard
44,1r0YfOkNhJ8,cinema,fire_screen,yurt
45,Q4xVaZhz3yA,trailer_truck,necklace,garbage_truck
46,_6652WEB9HY,nipple,military_uniform,magnetic_compass
47,MxhqGbu0ndA,yurt,acorn,bulletproof_vest
48,XVWQCd5j_ec,ping-pong_ball,golf_ball,necklace
49,BnC-2wwYQRQ,ping-pong_ball,dingo,military_uniform
50,DdPeF1fS5cE,necklace,snowmobile,trailer_truck
51,e3tI78Vy0Xs,mixing_bowl,pillow,ping-pong_ball
52,g1W4lKj8dzU,forklift,military_uniform,rifle
53,vS3_72Gb-bI,ping-pong_ball,backpack,dingo
54,NapYe0EBeuI,backpack,dingo,reflex_camera
55,sGwtzcSxolw,Dutch_oven,dingo,backpack
56,lqHX4JM_qX0,military_uniform,ping-pong_ball,soup_bowl
57,DNy6F7ZwX8I,backpack,ping-pong_ball,nipple
58,8_Pmwy1ePJ4,nipple,ping-pong_ball,Labrador_retriever
59,m1GfiE2lNcA,military_uniform,ping-pong_ball,doormat
60,JaHsDpf1Ufs,ping-pong_ball,backpack,pop_bottle
61,NLffKOOyxwI,safety_pin,abacus,mixing_bowl
62,gcH0OVd4aJU,yurt,acorn,whippet
63,TYPFenJQciw,waffle_iron,china_cabinet,Dutch_oven
64,7U-i2NX0jUc,nipple,necklace,bib
65,xLLLEnDyHnk,ping-pong_ball,cinema,malamute
66,WudmmlYnx8c,ping-pong_ball,military_uniform,lens_cap
67,P3inyS__dpA,Dungeness_crab,soup_bowl,ping-pong_ball
68,0LpaeZlM0ng,military_uniform,rifle,dingo
69,5NsoL2HU4_4,bib,military_uniform,keeshond
70,PqRuCLmtYkQ,ping-pong_ball,military_uniform,tow_truck
71,ZF-w__uUs8c,magnetic_compass,necklace,fire_engine
72,6gRQkG_s6m4,necklace,pill_bottle,military_uniform
73,xI849gVQanw,ping-pong_ball,necklace,military_uniform
74,7TO6GbaDFVI,ping-pong_ball,backpack,dingo
75,pZ0lK60WuZ4,bib,pencil_box,sunscreen
76,9LMr5XTgeyI,ping-pong_ball,tow_truck,jeep
77,BayghEGmQZM,ping-pong_ball,pop_bottle,backpack
78,k-PaOWxvnz0,bib,military_uniform,red-backed_sandpiper
79,P_79-1DInV4,ping-pong_ball,dingo,Dutch_oven
80,VzF62B6ysWI,military_uniform,ping-pong_ball,snowmobile
81,evGyTzgV1x0,Labrador_retriever,military_uniform,Dungeness_crab
82,3V8aen7Flhs,mixing_bowl,ping-pong_ball,safety_pin
83,gcCGL2IBYwc,ping-pong_ball,jeep,military_uniform
84,3aAhwhkAdzw,ping-pong_ball,military_uniform,tow_truck
85,NHhTMh0nURA,ping-pong_ball,Dutch_oven,necklace
86,dxP0m4_TaJg,ping-pong_ball,military_uniform,projectile
87,rI2rxUs4SDY,nipple,ping-pong_ball,jeep
88,agMrewRJTow,ping-pong_ball,bottlecap,dingo
89,efuFwnL0N64,trailer_truck,Labrador_retriever,tow_truck
90,CwaVCIVnbTg,dingo,military_uniform,backpack
91,_C73ZZkFiUM,ping-pong_ball,military_uniform,dingo
92,qz8yjPTMJf4,ping-pong_ball,backpack,reflex_camera
93,VLcaCjLveV4,pajama,military_uniform,snowmobile
94,mN9OwKwuX-8,military_uniform,fire_engine,ping-pong_ball
95,7h28guGJ82I,yurt,acorn,bulletproof_vest
96,F32yxl6ZcZw,ping-pong_ball,trailer_truck,magnetic_compass
97,tR-3BMignl4,ping-pong_ball,military_uniform,Dungeness_crab
98,bLDSjWkZ72o,gasmask,groenendael,cash_machine
99,jXf04bhcjbg,backpack,Dutch_oven,keeshond
100,vSYAm8pyP-k,ping-pong_ball,dingo,tow_truck
101,NBgEBWT1Mqk,nipple,Labrador_retriever,cinema
102,qy0oX5A9WyY,yurt,fire_screen,nipple
103,F8h4BRu-7uA,ping-pong_ball,military_uniform,necklace
104,dMJygADKEKs,ping-pong_ball,groenendael,dingo
105,o6JQknd3JRk,ping-pong_ball,dingo,fire_engine
106,yf1GWoh4OKE,backpack,military_uniform,lens_cap
107,seEOOSZTymE,ping-pong_ball,military_uniform,tow_truck
108,f2kb4coG4po,backpack,ping-pong_ball,dingo
109,EshcItJCT5k,dingo,backpack,ping-pong_ball
110,HkSa1iJN_Fo,necklace,ping-pong_ball,cinema
111,ADw4cCceiKM,ping-pong_ball,fire_engine,tow_truck
112,XIn_kj52-P0,backpack,ping-pong_ball,dingo
