,video_id,label_1,label_2,label_3
0,rpe5kB2eGvo,,,
1,MvuqM_9h6QY,bicycle,,
2,ZcGlf7EZ-vU,person,,
3,hDk1ne5TCHM,,,
4,-X0eQXFbTQo,,,
5,XLqNiKqxUPU,person,,
6,EmvS-3Y1PDE,person,,
7,6hxJyVkq4R8,,,
8,LbuoZYZLipc,,,
9,hTqOeMob6uM,aeroplane,person,
10,RMxuWWN223o,boat,dog,bicycle
11,rXX5yS2w_7I,motorbike,train,
12,3mg7U1jAUks,,,
13,ildQ7q0hqhc,car,,
14,2BEBrZblMeE,aeroplane,car,parking meter
15,C7TwBUxxIC0,,,
16,_GDcNxMOAkA,,,
17,GHsMk3i1Yi8,person,,
18,2zXd1q8hmt8,truck,train,bus
19,G7EZl8a2aFI,,,
20,WbWoT0lqVVQ,aeroplane,motorbike,
21,CioDVCtgyN0,bicycle,aeroplane,bus
22,22gevDcbkUo,,,
23,aMTxQ_MZBiQ,person,,
24,3skwMfCJIhk,bicycle,,
25,zeUGxvyCTAU,,,
26,hv7hsiPbDbo,person,,
27,3i19act-b1s,car,,
28,FPMUBR93w3w,motorbike,,
29,DMB_Lav9yJ8,,,
30,yCOs2G-ZjpI,,,
31,J4gJY_5eNqQ,person,,
32,AhrdVoGw_Ks,,,
33,oLtnNw0KT78,,,
34,id3uJa-hSF4,bicycle,,
35,Sqa8Zo2XWc4,motorbike,bus,
36,hDbaM367H9U,,,
37,gW6r-BPdtN0,,,
38,KDlO64GbxIQ,,,
39,4WkMinOFRA8,,,
40,Fc7BOCz92nc,person,train,
41,Wp5YJQqDkYE,,,
42,OCbc3eEpHf4,,,
43,ymGt7I4Yn3k,person,,
44,1r0YfOkNhJ8,person,aeroplane,
45,Q4xVaZhz3yA,,,
46,_6652WEB9HY,,,
47,MxhqGbu0ndA,motorbike,bicycle,
48,XVWQCd5j_ec,,,
49,BnC-2wwYQRQ,bicycle,motorbike,
50,DdPeF1fS5cE,,,
51,e3tI78Vy0Xs,person,,
52,g1W4lKj8dzU,,,
53,vS3_72Gb-bI,bus,,
54,NapYe0EBeuI,person,,
55,sGwtzcSxolw,bicycle,,
56,lqHX4JM_qX0,person,,
