,video_ids,nsfw_scores
0,rpe5kB2eGvo,0.0171
1,MvuqM_9h6QY,0.0925
2,ZcGlf7EZ-vU,0.0443
3,hDk1ne5TCHM,0.0005
4,-X0eQXFbTQo,0.0002
5,XLqNiKqxUPU,0.0058
6,EmvS-3Y1PDE,0.0003
7,6hxJyVkq4R8,0.0411
8,LbuoZYZLipc,0.0075
9,hTqOeMob6uM,0.0187
10,RMxuWWN223o,0.0009
11,rXX5yS2w_7I,0.0012
12,3mg7U1jAUks,0.637
13,ildQ7q0hqhc,0.0157
14,2BEBrZblMeE,0.0
15,C7TwBUxxIC0,0.0033
16,_GDcNxMOAkA,0.0193
17,GHsMk3i1Yi8,0.0676
18,2zXd1q8hmt8,0.0001
19,G7EZl8a2aFI,0.2369
20,WbWoT0lqVVQ,0.4799
21,CioDVCtgyN0,0.0008
22,22gevDcbkUo,0.0181
23,aMTxQ_MZBiQ,0.0125
24,3skwMfCJIhk,0.2585
25,zeUGxvyCTAU,0.0143
26,hv7hsiPbDbo,0.0896
27,3i19act-b1s,0.0018
28,FPMUBR93w3w,0.0007
29,DMB_Lav9yJ8,0.1943
30,yCOs2G-ZjpI,0.0053
31,J4gJY_5eNqQ,0.0017
32,AhrdVoGw_Ks,0.0009
33,oLtnNw0KT78,0.0919
34,id3uJa-hSF4,0.0232
35,Sqa8Zo2XWc4,0.0117
36,hDbaM367H9U,0.0026
37,gW6r-BPdtN0,0.0001
38,KDlO64GbxIQ,0.0004
39,4WkMinOFRA8,0.3912
40,Fc7BOCz92nc,0.0002
41,Wp5YJQqDkYE,0.0037
42,OCbc3eEpHf4,0.0109
43,ymGt7I4Yn3k,0.002
44,1r0YfOkNhJ8,0.0038
45,Q4xVaZhz3yA,0.0018
46,_6652WEB9HY,0.0245
47,MxhqGbu0ndA,0.0007
48,XVWQCd5j_ec,0.0108
49,BnC-2wwYQRQ,0.039
50,DdPeF1fS5cE,0.0412
51,e3tI78Vy0Xs,0.1369
52,g1W4lKj8dzU,0.0449
53,vS3_72Gb-bI,0.0003
54,NapYe0EBeuI,0.6677
55,sGwtzcSxolw,0.0063
56,lqHX4JM_qX0,0.8192
57,DNy6F7ZwX8I,0.0016
58,8_Pmwy1ePJ4,0.0192
59,m1GfiE2lNcA,0.0012
60,JaHsDpf1Ufs,0.0064
61,NLffKOOyxwI,0.0009
62,gcH0OVd4aJU,0.0236
63,TYPFenJQciw,0.0003
64,7U-i2NX0jUc,0.0078
65,xLLLEnDyHnk,0.0084
66,WudmmlYnx8c,0.0309
67,P3inyS__dpA,0.0012
68,0LpaeZlM0ng,0.0005
69,5NsoL2HU4_4,0.0114
70,PqRuCLmtYkQ,0.1505
71,ZF-w__uUs8c,0.0003
72,6gRQkG_s6m4,0.0066
73,xI849gVQanw,0.0
74,7TO6GbaDFVI,0.0014
75,pZ0lK60WuZ4,0.083
76,9LMr5XTgeyI,0.0035
77,BayghEGmQZM,0.0012
78,k-PaOWxvnz0,0.0797
79,P_79-1DInV4,0.0266
80,VzF62B6ysWI,0.0367
81,evGyTzgV1x0,0.008
82,3V8aen7Flhs,0.246
83,gcCGL2IBYwc,0.0143
84,3aAhwhkAdzw,0.0076
85,NHhTMh0nURA,0.004
86,dxP0m4_TaJg,0.0132
87,rI2rxUs4SDY,0.0117
88,agMrewRJTow,0.0018
89,efuFwnL0N64,0.0007
90,CwaVCIVnbTg,0.0432
91,_C73ZZkFiUM,0.066
92,qz8yjPTMJf4,0.0016
93,VLcaCjLveV4,0.0017
94,mN9OwKwuX-8,0.0017
95,7h28guGJ82I,0.0007
96,F32yxl6ZcZw,0.06
97,tR-3BMignl4,0.0078
98,bLDSjWkZ72o,0.0184
99,jXf04bhcjbg,0.0143
100,vSYAm8pyP-k,0.0004
101,NBgEBWT1Mqk,0.5479
102,qy0oX5A9WyY,0.0001
103,F8h4BRu-7uA,0.0255
104,dMJygADKEKs,0.0318
105,o6JQknd3JRk,0.0002
106,yf1GWoh4OKE,0.0037
107,seEOOSZTymE,0.0061
108,f2kb4coG4po,0.6206
109,EshcItJCT5k,0.0373
110,HkSa1iJN_Fo,0.0051
111,ADw4cCceiKM,0.0211
112,XIn_kj52-P0,0.0686
113,wwE1fZmIkss,0.1514
114,MLxGllP0x8M,0.0079
115,A-vX1AGBGsc,0.0123
116,j3xSIeD1gJQ,0.0008
117,ow8ZcpXMz0M,0.8787
118,Mk0KCrcYwv4,0.0022
119,vZk7JeGRKp8,0.0044
120,6o38C-ultvw,0.0025
121,epgZ2Dbr_Tw,0.0035
122,y8IqsCbvCFo,0.0126
123,RaJA7IbBRq0,0.0089
124,6VzdjvW2gi4,0.1685
125,HlyQf0dZ1Vk,0.0018
126,3-ozQBLitio,0.1332
127,7ucVgLAZDQQ,0.1611
128,OnzzqzzSWGA,0.0041
129,z5bLZtf37nI,0.0012
130,6ZKjAFxoG98,0.1004
131,QujpKn9Nu4c,0.0002
132,kymZR5FrTJY,0.0509
133,x_WN30mNsbs,0.0007
134,H4F5hkZzQaE,0.0082
135,C8UxyMrBu4I,0.0041
136,LYUKDASQncM,0.094
137,62Wf3GMJzpQ,0.0313
138,vyPy-4lY2qM,0.0416
139,pUF5esTscZI,0.021
140,Mt8uLveDY24,0.0998
141,X7vEBh197xw,0.2424
142,tlsU_YT9n_g,0.0408
143,Ivv-3w8dgmI,0.0051
144,1WGAWJJn3GI,0.8932
145,aDvOgfKNcrs,0.0263
146,vRW50IiRT-o,0.0006
147,864UBq8HpBY,0.0157
148,5cJK9VJ24hQ,0.0018
149,RPZMY2aqqSI,0.0362
150,ijHBHyKC__4,0.0062
151,BYVZh5kqaFg,0.0012
152,1qpoMiorNSQ,0.0002
153,_fs1X8tRTJA,0.0066
154,xeQCRKXiRpo,0.0
155,ysd5-uTLy6w,0.0355
156,KHg3HXsJiA0,0.0053
157,LdGvFaMo2GU,0.0044
158,5eR5IvmnKk8,0.0017
159,px0wTJPUaes,0.0019
160,58Ofg9IHRN0,0.0003
161,QHiDyKEtxNU,0.0015
162,G_8mOQeSa2U,0.0001
163,qFq_L-ANNNQ,0.0016
164,S9EnUSSU7HI,0.0008
165,yUJRjE-Ufz8,0.0051
166,QNTYrOL-npo,0.0645
167,9Ak320xrCUo,0.0007
168,rKbIvdx4gzU,0.0019
169,m3ugIgRJMsE,0.0085
170,WYKZdQq81kI,0.0021
171,DOa5wozdK6Y,0.0576
172,bHocnamqOJI,0.0226
173,L22U8dUpC44,0.0177
174,DDGhKS6bSAE,0.0737
175,xxV7ubH94aU,0.0005
176,--lk4QeTVmg,0.0024
177,VMxjFTtTquc,0.0019
178,cnN00ppui-w,0.0019
179,vL0yww9nk9o,0.0008
180,XSbNb3bQ1pg,0.0011
181,sG0rVJT_MT0,0.0001
182,BhP3nG16j7w,0.0088
183,T0_D4HC-Cwk,0.008
184,ODwJGcswfsA,0.0036
185,MnNisyErEMs,0.0555
186,dE7RFxsnrS4,0.0013
187,vre-UCKBt8Y,0.0026
188,OI2NYBm8JYs,0.0046
189,mP_NA_L9zMk,0.2827
190,ZhQOhsl7Bus,0.0111
191,U4qm6mPKHqw,0.0528
192,TpLh9vB02MM,0.0078
193,TkLO5XtuMUw,0.0664
194,O5aVKxMacm8,0.1416
195,412--23qbb4,0.0137
196,6y4BStscwvw,0.0075
197,gPknTQlKGQk,0.0016
198,P42zn7PGyNc,0.0112
199,4u5I8GYB79Y,0.0208
200,MHryuYVyHhk,0.3113
201,3ZTnKuV0VpA,0.0087
202,o1njZZsUUXM,0.0026
203,Y0LA7Ff2hgs,0.0058
204,uNkTb3ZEILA,0.0007
205,CKwM4ZEfYdk,0.0933
206,xo7Jx0C4A_o,0.003
207,SZ-We5x0Jys,0.0007
208,jtIZZs-GAOA,0.005
209,WCru1nJI57I,0.0047
210,38-ji37hzlE,0.0166
211,FmHLvJkc7Gg,0.0248
212,tRwUtg7ZX6Q,0.0301
213,qEV9qoup2mQ,0.0286
214,Ytm8VsQPS3o,0.0025
215,9Y18-07g39g,0.0011
216,78GVRzSnyGo,0.0037
217,LU9JtSwxBqI,0.0233
218,Lgd78PUXkPo,0.0054
219,M6jzUhLmoEc,0.0027
220,uuSj5EW6ELA,0.0043
221,ZLLcxNiQ9Yg,0.0142
222,3RwzjHB6y5Y,0.0207
223,qIsgdOVGA04,0.0011
224,Xvt9vcoyipA,0.0305
225,Ll1bLppLh4Y,0.029
226,TBmOMziLNcU,0.055
227,2Mkq6GFLIsk,0.0957
228,yS5w6Ozpdq4,0.0113
229,PK2SMIOHYig,0.0105
230,u9HJDC3I_Qg,0.0005
231,eQi3FrEnn5o,0.1462
232,ycNSY3d1WLc,0.0219
233,UyvhqC5sIsI,0.4001
234,tIUahhljm44,0.0596
235,GjgImsVqPfg,0.0371
236,m3u-_2WaTM4,0.0019
237,_mz4OMbBoRY,0.0016
238,rcWcchtcf1w,0.1501
239,venQs8fEu1Y,0.3789
240,bL9ayAkWsV4,0.0181
241,zaTi7YjDyDw,0.0687
242,UoNAmRwf5qk,0.0132
243,fXb02MQ78yQ,0.0019
244,LI8-QOOPzV0,0.0332
245,MHqxaXCzxNE,0.0145
246,FSCvulo6fJQ,0.0003
247,pQ9gSEzku-E,0.039
248,ePldSI0SGCg,0.0034
249,TYeQqLt1DLY,0.0625
250,ZVAS5-HelDY,0.0392
251,qaZY_unJFaA,0.0044
252,asUxDFssLFQ,0.0009
