,video_id,label_1,label_2,label_3
0,rpe5kB2eGvo,volcano,mailbox,lionfish
1,MvuqM_9h6QY,envelope,slot,ballpoint
2,ZcGlf7EZ-vU,basketball,ski,scoreboard
3,hDk1ne5TCHM,digital_clock,stopwatch,odometer
4,-X0eQXFbTQo,Band_Aid,rubber_eraser,nipple
5,XLqNiKqxUPU,tow_truck,trailer_truck,chain_saw
6,EmvS-3Y1PDE,street_sign,scoreboard,jigsaw_puzzle
7,6hxJyVkq4R8,wardrobe,butcher_shop,cleaver
8,LbuoZYZLipc,packet,carton,coffee_mug
9,hTqOeMob6uM,neck_brace,volleyball,bow
10,RMxuWWN223o,suit,Windsor_tie,lab_coat
11,rXX5yS2w_7I,abaya,stage,
12,3mg7U1jAUks,parallel_bars,volleyball,horizontal_bar
13,ildQ7q0hqhc,scoreboard,maillot,
14,2BEBrZblMeE,suit,theater_curtain,academic_gown
15,C7TwBUxxIC0,gasmask,barbell,oxygen_mask
16,_GDcNxMOAkA,perfume,binder,soap_dispenser
17,GHsMk3i1Yi8,street_sign,torch,
18,2zXd1q8hmt8,military_uniform,suit,bearskin
19,G7EZl8a2aFI,jigsaw_puzzle,toilet_seat,tray
20,WbWoT0lqVVQ,volleyball,stage,swimming_trunks
21,CioDVCtgyN0,space_shuttle,stage,
22,22gevDcbkUo,wall_clock,paintbrush,switch
23,aMTxQ_MZBiQ,wardrobe,sliding_door,medicine_chest
24,3skwMfCJIhk,wig,suit,bulletproof_vest
25,zeUGxvyCTAU,barbershop,totem_pole,tobacco_shop
26,hv7hsiPbDbo,suit,abaya,
27,3i19act-b1s,electric_guitar,stage,acoustic_guitar
28,FPMUBR93w3w,pick,remote_control,loudspeaker
29,DMB_Lav9yJ8,totem_pole,shower_curtain,cowboy_boot
30,yCOs2G-ZjpI,menu,crossword_puzzle,pill_bottle
31,J4gJY_5eNqQ,leaf_beetle,weevil,long-horned_beetle
32,AhrdVoGw_Ks,bullet_train,passenger_car,limousine
33,oLtnNw0KT78,punching_bag,microphone,
34,id3uJa-hSF4,suit,laptop,crutch
35,Sqa8Zo2XWc4,suit,bookshop,crutch
36,hDbaM367H9U,balloon,totem_pole,street_sign
37,gW6r-BPdtN0,racer,go-kart,tow_truck
38,KDlO64GbxIQ,church,castle,bell_cote
39,4WkMinOFRA8,lipstick,confectionery,candle
40,Fc7BOCz92nc,swab,horizontal_bar,broom
41,Wp5YJQqDkYE,jersey,electric_guitar,stage
42,OCbc3eEpHf4,wig,balloon,jack-o'-lantern
43,ymGt7I4Yn3k,totem_pole,suit,cinema
44,1r0YfOkNhJ8,scoreboard,military_uniform,jersey
45,Q4xVaZhz3yA,digital_clock,scoreboard,prayer_rug
46,_6652WEB9HY,stage,cinema,toyshop
47,MxhqGbu0ndA,pick,remote_control,loudspeaker
48,XVWQCd5j_ec,sea_cucumber,electric_ray,conch
49,BnC-2wwYQRQ,dumbbell,barbell,monitor
50,DdPeF1fS5cE,barn,gazelle,red_fox
51,e3tI78Vy0Xs,greenhouse,carousel,toyshop
52,g1W4lKj8dzU,butcher_shop,fountain,pirate
53,vS3_72Gb-bI,whistle,bubble,perfume
54,NapYe0EBeuI,mask,totem_pole,clog
55,sGwtzcSxolw,harmonica,flute,sax
56,lqHX4JM_qX0,menu,confectionery,packet
57,DNy6F7ZwX8I,turnstile,crutch,suit
58,8_Pmwy1ePJ4,stage,trench_coat,suit
59,m1GfiE2lNcA,screen,,
60,JaHsDpf1Ufs,butcher_shop,wig,sarong
61,NLffKOOyxwI,envelope,binder,hand_blower
62,gcH0OVd4aJU,matchstick,digital_clock,spotlight
63,TYPFenJQciw,oscilloscope,matchstick,digital_clock
64,7U-i2NX0jUc,plastic_bag,oscilloscope,screen
65,xLLLEnDyHnk,electric_guitar,stage,microphone
66,WudmmlYnx8c,breastplate,mask,
67,P3inyS__dpA,torch,ping-pong_ball,bearskin
68,0LpaeZlM0ng,unicycle,stage,theater_curtain
69,5NsoL2HU4_4,stage,torch,guillotine
70,PqRuCLmtYkQ,racket,swimming_trunks,ping-pong_ball
71,ZF-w__uUs8c,fire_engine,racer,toyshop
72,6gRQkG_s6m4,street_sign,cinema,bell_cote
73,xI849gVQanw,motor_scooter,crash_helmet,unicycle
74,7TO6GbaDFVI,mask,gasmask,totem_pole
75,pZ0lK60WuZ4,jean,cleaver,pajama
76,9LMr5XTgeyI,barbershop,cinema,street_sign
77,BayghEGmQZM,torch,academic_gown,kimono
78,k-PaOWxvnz0,cuirass,mask,breastplate
79,P_79-1DInV4,groom,suit,bow_tie
80,VzF62B6ysWI,carton,bookshop,crate
81,evGyTzgV1x0,suit,ocarina,stage
82,3V8aen7Flhs,balance_beam,horizontal_bar,parallel_bars
83,gcCGL2IBYwc,shoe_shop,abaya,mask
84,3aAhwhkAdzw,horizontal_bar,balance_beam,ballplayer
